기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,22,2614068000,암남동,453013
2022-04,18,2614068000,암남동,443179
2022-04,11,2614068000,암남동,540526
2022-04,16,2614068000,암남동,506613
2022-04,09,2614068000,암남동,546702
2022-04,10,2614068000,암남동,547723
2022-04,01,2614068000,암남동,459140
2022-04,23,2614068000,암남동,465125
2022-04,21,2614068000,암남동,454691
2022-04,12,2614068000,암남동,543265
2022-04,00,2617051000,초량1동,118525
2022-04,19,2617051000,초량1동,106701
2022-04,11,2617051000,초량1동,140348
2022-04,13,2617051000,초량1동,140492
2022-04,20,2617051000,초량1동,105802
2022-04,15,2617051000,초량1동,135634
2022-04,04,2617051000,초량1동,116544
2022-04,05,2617051000,초량1동,117112
2022-04,01,2617051000,초량1동,116543
2022-04,03,2617051000,초량1동,116150
2022-04,18,2617051000,초량1동,111666
2022-04,16,2617051000,초량1동,130764
2022-04,12,2617051000,초량1동,142256
2022-04,22,2617051000,초량1동,106662
2022-04,23,2617051000,초량1동,122833
2022-04,21,2617051000,초량1동,105335
2022-04,09,2617051000,초량1동,138698
2022-04,17,2617051000,초량1동,124518
2022-04,02,2617051000,초량1동,116196
2022-04,07,2617051000,초량1동,119264
2022-04,06,2617051000,초량1동,115147
2022-04,08,2617051000,초량1동,136114
2022-04,10,2617051000,초량1동,139300
2022-04,14,2617051000,초량1동,137615
2022-04,21,2617052000,초량2동,241142
2022-04,04,2617052000,초량2동,202369
2022-04,15,2617052000,초량2동,257552
2022-04,08,2617052000,초량2동,227851
2022-04,06,2617052000,초량2동,203511
2022-04,09,2617052000,초량2동,240063
2022-04,23,2617052000,초량2동,227138
2022-04,18,2617052000,초량2동,261124
2022-04,12,2617052000,초량2동,264380
2022-04,17,2617052000,초량2동,259038
2022-04,02,2617052000,초량2동,209000
2022-04,14,2617052000,초량2동,260089
2022-04,05,2617052000,초량2동,205067
2022-04,13,2617052000,초량2동,261082
2022-04,11,2617052000,초량2동,259026
2022-04,01,2617052000,초량2동,215009
2022-04,19,2617052000,초량2동,254735
2022-04,07,2617052000,초량2동,216802
2022-04,00,2617052000,초량2동,226367
2022-04,10,2617052000,초량2동,246529
2022-04,03,2617052000,초량2동,206068
2022-04,16,2617052000,초량2동,259575
2022-04,22,2617052000,초량2동,235879
2022-04,20,2617052000,초량2동,248105
2022-04,03,2617053000,초량3동,360683
2022-04,21,2617053000,초량3동,406793
2022-04,04,2617053000,초량3동,370476
2022-04,08,2617053000,초량3동,498552
2022-04,13,2617053000,초량3동,553118
2022-04,20,2617053000,초량3동,421941
2022-04,16,2617053000,초량3동,523590
2022-04,18,2617053000,초량3동,465618
2022-04,17,2617053000,초량3동,503308
2022-04,00,2617053000,초량3동,364085
2022-04,11,2617053000,초량3동,547923
2022-04,23,2617053000,초량3동,365383
2022-04,10,2617053000,초량3동,534170
2022-04,07,2617053000,초량3동,434744
